#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2026-02-26T09:20:33 [V7.5.4]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-02-26T09:20:33	  Query execution date
#INFO	request=https://vizier.u-strasbg.fr/viz-bin/asu-tsv?-source=J/ApJ/856/23/members&-out.all=1	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.4	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable
#INFO	MaxTuples=50000	

#RESOURCE=yCat_18560023
#Name: J/ApJ/856/23
#Title: BANYAN. XI. The BANYAN {Sigma} algorithm (Gagne+, 2018)
#INFO	ivoid=ivo://cds.vizier/j/apj/856/23	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apj/856/23	    IVOID of underlying data collection
#INFO	creator=Gagne J.	    First author or institution
#INFO	cites=bibcode:2018ApJ...856...23G	    Article or Data origin sources
#INFO	journal=ApJ	    Journal name
#INFO	original_date=2018	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/856/23	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.18560023	    Dataset identifier that can be used for citation
#INFO	publication_date=2021-01-11	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJ_856_23_members:
#Name: J/ApJ/856/23/members
#Title: Literature compilation of bona fide members (tables 5 and 7)
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Assoc	(a6)	Association short name (G1)	[ucd=meta.id.parent]
#Column	Main	(a27)	Main designation	[ucd=meta.id;meta.main]
#Column	SpT	(a13)	Spectral Type	[ucd=src.spType]
#Column	RAJ2000	(A11)	[0/23]? Hour of Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A11)	? Degree of Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	pmRA	(F7.2)	[-604/435]? Proper motion in RA, pm*cos(dec)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F5.2)	[0.02/20]? Uncertainty on pmRA	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F7.2)	[-729/356]? Proper motion in DE	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F5.2)	[0.01/20]? Uncertainty on pmDE	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	RVel	(F6.2)	[-23.7/45]? Radial velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	e_RVel	(F5.2)	[0.03/7]? Uncertainty on RVel	[ucd=stat.error;spect.dopplerVeloc]
#Column	Dist	(F6.2)	[7.1/210]? Trigonometric distance	[ucd=pos.distance;pos.heliocentric]
#Column	e_Dist	(F5.2)	[0/30]? Uncertainty on Dist	[ucd=stat.error]
#Column	Comp	(A11)	Companion Flag (G2)	[ucd=meta.code.error]
#Column	r_SpT	(I3)	? Reference for spectral type (see refs.dat file)	[ucd=meta.ref;pos.frame]
#Column	r_pm	(I3)	? Reference for proper motion (see refs.dat file)	[ucd=meta.ref;pos.frame]
#Column	r_RVel	(a10)	Reference(s) for radial velocity (see refs.dat file)	[ucd=meta.ref;pos.frame]
#Column	r_Dist	(I3)	? Reference for trigonometric distance (see refs.dat file)	[ucd=meta.ref;pos.frame]
#Column	2MASS	(A17)	2MASS designation (JHHMMSSss+DDMMSSs)	[ucd=meta.id.cross]
#Column	WISEA	(A19)	ALLWISE designation (JHHMMSS.ss+DDMMSS.s)	[ucd=meta.id.cross]
#Column	Gaia	(I19)	? Gaia-DR1 Source ID (<Gaia DR1 NNNNNNNNNNNNNNNNNNN> in Simbad)	[ucd=meta.id.cross]
#Column	OName	(a42)	Other name(s), separated by ";"	[ucd=meta.id]
#Column	SimbadName	(a26)	Simbad column added by the CDS	[ucd=meta.id]
recno	Assoc	Main	SpT	RAJ2000	DEJ2000	pmRA	e_pmRA	pmDE	e_pmDE	RVel	e_RVel	Dist	e_Dist	Comp	r_SpT	r_pm	r_RVel	r_Dist	2MASS	WISEA	Gaia	OName	SimbadName
      70	BPMG  	GJ 2006 B                  	M3.5Ve       	00 27 50.49	-32 33 24.8	 117.00	 3.00	 -29.00	 8.00	  8.50	 0.20	 32.00	 2.00	[COMPANION]	 14	 47	 14       	 48	J00275035-3233238	J002750.44-323324.6	2315841864877478656	                                          	GJ 2006 B
      71	BPMG  	GJ 3076                    	M5           	01 11 25.42	+15 26 21.5	 180.00	 2.00	-120.00	 5.00	  4.00	 0.10	 21.80	 0.80	           	 11	 31	 36       	 48	J01112542+1526214	J011125.55+152620.5	                   	                                          	GJ 3076
      72	BPMG  	Barta 161 12               	M4.3         	01 35 14.02	-07 12 52.2	 100.00	10.00	 -50.00	10.00	  6.80	 0.80	 38.00	 2.00	           	  9	 13	 14       	  9	J01351393-0712517	J013513.99-071252.0	2477870708709917568	                                          	Barta 161 12
      73	BPMG  	G 271-110                  	M4V          	01 36 55.35	-06 47 39.5	 175.00	 4.00	 -99.00	 4.00	 12.20	 0.40	 24.00	 0.40	           	 14	 31	  9       	  9	J01365516-0647379	J013655.29-064739.1	2478001481874157440	                                          	G 271-110
      74	BPMG  	HD 14082 A                 	F5V          	02 17 25.39	+28 44 41.0	  87.10	 0.20	 -74.10	 0.20	  5.40	 0.50	 39.70	 0.40	           	 22	  5	 49       	  5	J02172527+2844423	J021725.30+284440.1	 107774198474602112	HIP 10680                                 	HD 14082 A
      75	BPMG  	HD 14082 B                 	G2V          	02 17 24.83	+28 44 29.3	  85.10	 0.40	 -70.80	 0.30	  5.70	 0.30	 39.30	 0.40	[COMPANION]	 22	  5	 50       	  5	J02172472+2844305	J021724.78+284429.8	 107774198474602368	HIP 10679                                 	HD 14082 B
      76	BPMG  	AG Tri A                   	K8           	02 27 29.35	+30 58 23.5	  79.50	 0.20	 -72.10	 0.10	  7.00	 1.00	 41.10	 0.40	           	 22	  5	 51       	  5	J02272924+3058246	J022729.32+305823.9	 132362954963518208	HIP 11437 A                               	2MASS J02272924+3058246
      77	BPMG  	AG Tri B                   	M0           	02 27 28.15	+30 58 39.3	       	     	       	     	  5.00	 1.00	      	     	[COMPANION]	 11	   	 51       	   	J02272804+3058405	J022728.12+305839.6	 132363023682994816	HIP 11437 B                               	2MASS J02272804+3058405
      78	BPMG  	BD+05 378                  	K6Ve         	02 41 25.97	+05 59 17.5	  80.00	 3.00	 -54.00	 2.00	 10.00	 1.00	 42.00	 3.00	           	 22	 16	 51       	 16	J02412589+0559181	J024125.94+055917.7	  18211039292332928	HIP 12545 AB                              	BD+05 378
      79	BPMG  	51 Eri                     	F0V          	04 37 36.13	-02 28 24.8	  44.20	 0.30	 -64.40	 0.30	 21.00	 5.00	 29.40	 0.30	           	 46	 16	 34       	 16	J04373613-0228248	J043736.16-022825.1	                   	HIP 21547                                 	51 Eri
      80	BPMG  	51 Eri b                   	T6           	04 37 36.13	-02 28 24.8	       	     	       	     	      	     	      	     	[COMPANION]	 52	   	          	   	                 	                   	                   	                                          	51 Eri b
      81	BPMG  	GJ 3305 AB                 	M0Ve         	04 37 37.51	-02 29 29.6	  46.00	 3.00	 -65.00	 3.00	 21.70	 0.30	      	     	[COMPANION]	 11	 53	  9       	   	J04373746-0229282	J043737.49-022929.1	3205094365111410432	                                          	2MASS J04373746-0229282
      82	BPMG  	2MASS J04433761+0002051    	M9{gamma}    	04 43 37.61	+00 02 05.2	  51.00	 1.00	-103.00	 1.00	 17.00	 0.80	 21.10	 0.40	           	 54	  2	  8       	  2	J04433761+0002051	J044337.64+000203.9	                   	SDSS J044337.60+000205.2                  	2MASS J04433761+0002051
      83	BPMG  	V1005 Ori                  	M0Ve         	04 59 34.87	+01 46 59.2	  39.30	 0.20	 -94.90	 0.10	 17.00	 1.00	 24.60	 0.20	           	 30	  5	 55       	  5	J04593483+0147007	J045934.85+014659.6	3231945504212402688	HIP 23200                                 	V1005 Ori
      84	BPMG  	CD-57 1054                 	M0.5e        	05 00 47.20	-57 15 24.3	  35.30	 0.10	  74.10	 0.10	 19.40	 0.30	 27.10	 0.20	           	 11	  5	 56       	  5	J05004714-5715255	J050047.15-571524.5	4764027958661044352	HIP 23309                                 	CD-57 1054
      85	BPMG  	BD-21 1074 A               	M1V          	05 06 49.97	-21 35 09.4	  46.60	 0.60	 -16.00	 1.00	 21.20	 0.90	 19.70	 0.10	           	 11	  5	 57       	  5	J05064991-2135091	                   	2962658545176445952	GJ 3331 A                                 	BD-21 1074 A
      86	BPMG  	BD-21 1074 B               	M3.5V        	05 06 49.48	-21 35 04.2	       	     	       	     	      	     	      	     	[COMPANION]	   	   	          	   	J05064946-2135038	J050649.51-213504.4	2962658549471532928	GJ 3331 B                                 	BD-21 1074 B
      87	BPMG  	BD-21 1074 C               	M4V          	05 06 49.54	-21 35 04.7	       	     	       	     	      	     	      	     	[COMPANION]	   	   	          	   	                 	                   	2962658549471532672	GJ 3331 C                                 	BD-21 1074 C
      88	BPMG  	AF Lep                     	F7           	05 27 04.78	-11 54 04.2	  17.14	 0.03	 -49.16	 0.03	 21.00	 2.00	 26.80	 0.20	           	 46	  5	 34       	  5	J05270477-1154033	J052704.76-115403.8	3009908373754300288	HIP 25486                                 	AF Lep
      89	BPMG  	Beta Pic                   	A6V          	05 47 17.08	-51 03 59.5	   4.70	 0.10	  83.10	 0.20	 20.00	 0.70	 19.00	 0.00	           	 32	 16	 23       	 16	J05471708-5103594	J054717.10-510358.4	                   	HIP 27321                                 	Beta Pic
      90	BPMG  	Beta Pic b                 	L1?          	05 47 17.08	-51 03 59.5	       	     	       	     	      	     	      	     	[COMPANION]	 58	   	          	   	                 	                   	                   	                                          	Beta Pic b
      91	BPMG  	2MASS J06131330-2742054    	M3.5V        	06 13 13.30	-27 42 05.6	 -15.00	 1.00	  -2.00	 1.00	 22.50	 0.20	 29.40	 0.90	           	 14	 47	 14       	 48	J06131330-2742054	J061313.30-274205.6	2899492632952579328	                                          	2MASS J06131330-2742054
      92	BPMG  	AO Men                     	K4Ve         	06 18 28.18	-72 02 40.3	  -7.70	 0.10	  74.40	 0.10	 16.00	 1.00	 39.00	 0.30	           	 30	  5	 23       	  5	J06182824-7202416	J061828.18-720240.7	5266270439140210176	HIP 29964                                 	AO Men
      93	BPMG  	TWA 22 A                   	M5           	10 17 26.89	-53 54 26.5	-175.80	 0.80	 -21.30	 0.80	 15.00	 2.00	 17.50	 0.20	           	   	 59	 59       	 59	J10172689-5354265	J101726.70-535426.5	                   	                                          	2MASS J10172689-5354265
      94	BPMG  	TWA 22 B                   	             	10 17 26.89	-53 54 26.5	       	     	       	     	      	     	      	     	[COMPANION]	   	   	          	   	                 	                   	                   	                                          	TWA 22
      95	BPMG  	V343 Nor A                 	K0V          	15 38 57.45	-57 42 28.7	 -49.86	 0.06	 -97.87	 0.07	  4.00	 1.00	 36.90	 0.40	           	 46	  5	 34       	  5	J15385757-5742273	J153857.44-574227.9	5882581890885085312	HD 139084 A; HIP 76629 A                  	2MASS J15385757-5742273
      96	BPMG  	V343 Nor BC                	M4.5         	15 38 56.69	-57 42 20.5	       	     	       	     	  0.00	 2.00	      	     	[COMPANION]	 11	   	 30       	   	J15385679-5742190	J153856.71-574220.1	5882581895192805632	HD 139084 BC; HIP 76629 BC                	2MASS J15385679-5742190
      97	BPMG  	2MASS J16572029-5343316    	M3V          	16 57 20.25	-53 43 32.9	 -21.00	 5.00	 -91.00	 4.00	  1.40	 0.20	 52.00	 2.00	           	 14	  5	 14       	  5	J16572029-5343316	J165720.25-534332.5	5935776710114780800	                                          	2MASS J16572029-5343316
      98	BPMG  	HD 155555 A                	G5IV         	17 17 25.45	-66 57 05.8	 -21.49	 0.02	-137.25	 0.03	  3.00	 2.00	 30.50	 0.30	           	 46	  5	 34       	  5	J17172550-6657039	J171725.48-665705.0	5811866422581688320	HIP 84586 A                               	HD 155555 A
      99	BPMG  	HD 155555 B                	K0IV         	17 17 25.51	-66 57 03.9	       	     	       	     	      	     	      	     	[COMPANION]	 11	   	          	   	                 	                   	                   	HIP 84586 B                               	HD 155555 B
     100	BPMG  	HD 155555 C                	M3Ve         	17 17 31.25	-66 57 07.6	  -9.00	 9.00	-146.00	 9.00	  3.00	 2.00	 31.40	 0.70	[COMPANION]	 30	 53	 30       	 30	J17173128-6657055	J171731.25-665706.9	5811867831334571136	HIP 84586 C                               	HD 155555 C
     101	BPMG  	HD 160305                  	F9V          	17 41 49.04	-50 43 29.0	  -4.00	 1.00	 -65.70	 0.90	  2.00	 1.00	 73.00	 5.00	           	 60	 16	 60       	 16	J17414903-5043279	J174149.04-504328.7	5946515434017842304	HIP 86598                                 	HD 160305
     102	BPMG  	HD 164249 A                	F5V          	18 03 03.41	-51 38 57.7	   2.27	 0.04	 -86.13	 0.03	 -0.20	 0.50	 50.40	 0.70	           	 46	  5	 34       	  5	J18030341-5138564	J180303.56-513856.9	6702775130923228672	HIP 88399 A                               	HD 164249 A
     103	BPMG  	HD 164249 B                	M2Ve         	18 03 04.11	-51 38 57.6	       	     	       	     	 -2.00	 1.00	 47.00	 2.00	[COMPANION]	 30	   	 30       	 30	J18030409-5138561	                   	6702775508886369408	HIP 88399 B                               	HD 164249 B
     104	BPMG  	HD 165189                  	A6V          	18 06 49.90	-43 25 30.8	  11.00	 1.00	-106.60	 0.50	 -7.80	 0.40	 42.00	 1.00	           	 61	 16	 20       	 16	J18064990-4325297	J180649.89-432531.0	                   	HIP 88726 A                               	HD 165189
     105	BPMG  	HD 165190                  	A7V          	18 06 49.93	-43 25 29.1	       	     	       	     	      	     	      	     	[COMPANION]	 61	   	          	   	                 	                   	                   	HIP 88726 B                               	HD 165190
     106	BPMG  	HD 168210                  	G5V          	18 19 52.22	-29 16 33.5	   4.63	 0.09	 -46.41	 0.06	 -7.00	 3.00	 79.00	 2.00	           	 30	  5	 23       	  5	J18195221-2916327	J181952.20-291633.0	4051081838710783232	HIP 89829                                 	HD 168210
     107	BPMG  	HIP 92024 A                	A7           	18 45 26.91	-64 52 16.5	  32.40	 0.20	-149.50	 0.20	  2.00	 4.00	 28.50	 0.20	           	 46	 16	 20       	 16	J18452691-6452165	J184526.93-645218.1	                   	                                          	2MASS J18452691-6452165
     108	BPMG  	HIP 92024 BC               	K7V          	18 45 37.10	-64 51 48.2	       	     	       	     	  1.00	 3.00	 29.20	 0.60	[COMPANION]	 11	   	 30       	 30	J18453704-6451460	J184537.07-645147.5	6438274728255523456	                                          	2MASS J18453704-6451460
     109	BPMG  	CD-31 16041                	K7Ve         	18 50 44.50	-31 47 48.5	  14.00	 5.00	 -76.00	 6.00	 -6.00	 1.00	 49.70	 0.60	           	 14	  5	 30       	  5	J18504448-3147472	J185044.49-314748.1	6736232342046851328	                                          	CD-31 16041
     110	BPMG  	HIP 92680                  	G9IV         	18 53 05.90	-50 10 51.2	  18.00	 1.00	 -83.60	 0.80	 -4.20	 0.20	 52.00	 3.00	           	 30	 16	 20       	 16	J18530587-5010499	J185305.88-501050.8	6655168686918321152	                                          	HIP 92680
     111	BPMG  	2MASS J18580415-2953045    	M0Ve         	18 58 04.17	-29 53 05.4	   8.00	 7.00	 -54.00	 8.00	 -5.00	 1.00	 78.00	 3.00	           	 14	  5	 30       	  5	J18580415-2953045	J185804.16-295305.1	6760846559098703744	                                          	2MASS J18580415-2953045
     112	BPMG  	HIP 95270                  	F5.5         	19 22 58.99	-54 32 18.2	  24.52	 0.04	 -82.21	 0.03	  0.10	 0.40	 49.00	 1.00	           	 46	  5	 20       	  5	J19225894-5432170	J192258.97-543217.9	6643589347714850432	                                          	HIP 95270
     113	BPMG  	2MASS J19560438-3207376    	M0V          	19 56 04.41	-32 07 38.7	  32.60	 0.90	 -68.90	 0.80	 -7.20	 0.50	 50.20	 0.80	           	 14	  5	 14       	  5	J19560438-3207376	J195604.39-320738.3	6747467220578068608	TYC 7443-1102-1                           	2MASS J19560438-3207376
     114	BPMG  	HIP 99273                  	F5V          	20 09 05.26	-26 13 27.5	  40.36	 0.04	 -67.48	 0.03	 -6.00	 2.00	 50.90	 0.80	           	 11	  5	 34       	  5	J20090521-2613265	J200905.23-261327.2	6847146780087983360	                                          	HIP 99273
     115	BPMG  	2MASS J20100002-2801410    	M2.5         	20 09 59.91	-28 01 34.8	  40.40	 0.90	 -62.70	 0.90	 -5.80	 0.60	 48.00	 3.00	           	 14	 47	 14       	 48	J20100002-2801410	J201000.06-280141.6	6846651454394273536	                                          	2MASS J20100002-2801410
     116	BPMG  	2MASS J20333759-2556521    	M4.5V        	20 33 37.66	-25 56 53.2	  52.00	 2.00	 -77.00	 1.00	 -7.60	 0.40	 48.00	 3.00	           	 14	 47	 14       	 48	J20333759-2556521	J203337.63-255652.9	6800238040634037120	                                          	2MASS J20333759-2556521
     117	BPMG  	AU Mic                     	M1Ve         	20 45 09.86	-31 20 32.6	 281.38	 0.07	-360.11	 0.04	 -5.00	 1.00	 10.00	 0.00	           	 11	  5	 34       	  5	J20450949-3120266	J204509.75-312030.9	6794047652729201024	HIP 102409                                	AU Mic
     118	BPMG  	AT Mic B                   	M4Ve         	20 41 51.15	-32 26 10.2	       	     	       	     	      	     	      	     	[COMPANION]	 30	   	          	   	                 	                   	                   	HIP 102141 B                              	AT Mic B
     119	BPMG  	AT Mic A                   	M4Ve         	20 41 51.16	-32 26 06.6	 271.00	 5.00	-366.00	 4.00	 -4.00	 4.00	 10.70	 0.40	[COMPANION]	 11	 16	 23       	 16	J20415111-3226073	J204151.37-322612.3	                   	HIP 102141 A                              	AT Mic A
     120	BPMG  	HIP 103311 AB              	F8V          	20 55 47.73	-17 06 51.9	  58.80	 0.80	 -62.80	 0.70	 -5.00	 2.00	 46.00	 2.00	           	 46	 16	 30       	 16	J20554767-1706509	J205547.72-170651.5	6882840883188887040	                                          	2MASS J20554767-1706509
     121	BPMG  	PSO J318.5-22              	L7           	21 14 08.19	-22 51 37.2	 137.00	 1.00	-139.00	 1.00	 -6.00	 0.90	 22.20	 0.80	           	 62	  2	 63       	  2	J21140802-2251358	J211408.13-225137.4	                   	PSO J318.5338-22.8603                     	2MASS J21140802-2251358
     122	BPMG  	2MASS J21212873-6655063    	K7V          	21 21 28.99	-66 55 07.8	 116.00	 1.00	 -91.00	 2.00	  3.30	 0.80	 32.10	 0.80	           	 14	  5	 30       	  5	J21212873-6655063	J212128.90-665507.2	6400160943657052160	TYC 9114-1267-1                           	2MASS J21212873-6655063
     123	BPMG  	2MASS J22424896-7142211    	K7V          	22 42 49.24	-71 42 22.0	  95.00	 1.00	 -53.00	 1.00	  8.60	 0.50	 36.50	 0.30	           	 14	  5	 30       	  5	J22424896-7142211	J224249.14-714221.6	6382640328948202752	CPD-72 2713                               	2MASS J22424896-7142211
     124	BPMG  	HIP 112312 A               	M4IVe        	22 44 58.18	-33 15 03.6	 179.90	 0.20	-123.30	 0.10	  1.00	 1.00	 20.80	 0.20	           	 30	  5	 51       	  5	J22445794-3315015	J224458.12-331503.0	6603693877537306112	                                          	2MASS J22445794-3315015
     125	BPMG  	HIP 112312 B               	M5IVe        	22 45 00.28	-33 15 27.9	       	     	       	     	  3.00	 2.00	      	     	[COMPANION]	 11	   	 51       	   	J22450004-3315258	J224500.21-331527.3	6603693808817829760	                                          	2MASS J22450004-3315258
     126	BPMG  	BD-13 6424                 	M0Ve         	23 32 31.00	-12 15 52.7	 139.00	 2.00	 -81.20	 0.80	  1.40	 0.40	 27.80	 0.40	           	 14	  5	 64       	  5	J23323085-1215513	J233230.96-121552.2	2433191881917182208	                                          	BD-13 6424
     127	UMA   	37 UMa                     	F2V          	10 35 09.82	+57 04 58.0	  66.80	 0.20	  36.60	 0.30	-11.30	 0.60	 26.50	 0.20	           	 65	 16	 20       	 16	J10350969+5704578	J103509.78+570457.7	 854734432190336512	                                          	37 UMa
     128	UMA   	gam UMa                    	A0Ve         	11 53 49.85	+53 41 41.1	 107.70	 0.30	  11.00	 0.30	-11.90	 0.70	 25.50	 0.30	           	 66	 16	 20       	 16	J11534983+5341408	J115349.97+534141.2	                   	                                          	gam UMa
     129	UMA   	del UMa                    	A3V          	12 15 25.56	+57 01 57.4	 104.10	 0.10	   7.30	 0.10	-15.30	 0.50	 24.70	 0.10	           	 67	 16	 20       	 16	J12152554+5701575	J121525.69+570157.5	                   	                                          	del UMa
     130	UMA   	HR 4867                    	F7V          	12 48 39.69	+60 19 11.6	 110.00	 2.00	 -24.00	 3.00	 -6.20	 0.80	 24.00	 2.00	           	 68	 16	 12       	 16	J12483942+6019115	J124839.65+601911.4	1579858605497308032	                                          	HR 4867
     131	UMA   	eps UMa A                  	A0           	12 54 01.75	+55 57 35.4	 111.90	 0.20	  -8.20	 0.20	-12.70	 0.20	 25.30	 0.10	           	 67	 16	 20       	 16	J12540170+5557349	J125401.95+555735.4	                   	                                          	2MASS J12540170+5557349
     132	UMA   	eps UMa B                  	A0           	12 54 01.75	+55 57 35.4	       	     	       	     	      	     	      	     	[COMPANION]	 67	   	          	   	                 	                   	                   	                                          	WDS J12540+5558AB
     133	UMA   	78 UMa AB                  	F2V          	13 00 43.70	+56 21 58.8	 107.90	 0.30	   2.10	 0.30	 -9.80	 0.90	 25.40	 0.20	           	 67	 16	 69       	 16	J13004371+5621588	J130043.85+562159.1	                   	                                          	2MASS J13004371+5621588
     134	UMA   	zet UMa A                  	A1.5V        	13 23 55.54	+54 55 31.3	 121.20	 0.50	 -22.00	 0.50	 -5.60	 0.90	 26.00	 1.00	           	 65	 70	 69       	 16	J13235563+5455292	J132355.82+545529.4	                   	                                          	zet UMa A
     135	UMA   	zet UMa B                  	A1           	13 23 56.33	+54 55 18.6	 121.20	 0.50	 -22.00	 0.50	 -9.30	 0.90	 26.00	 1.00	           	 71	 70	 69       	 16	J13235629+5455183	                   	                   	zet UMa B                                 	zet UMa B
     136	UMA   	80 UMa                     	A5V          	13 25 13.54	+54 59 16.7	 120.20	 0.10	 -16.00	 0.10	 -8.90	 0.90	 25.10	 0.10	           	 72	 16	 69       	 16	J13251353+5459165	J132513.66+545916.4	                   	                                          	80 UMa
     462	CBER  	17 Com B                   	A0           	12 28 38.14	+26 13 36.9	       	     	       	     	      	     	      	     	[COMPANION]	   	   	          	   	                 	                   	                   	                                          	17 Com B
     137	CARN  	GJ 140 A                   	M1           	03 24 06.48	+23 47 06.1	 225.00	 5.00	-131.00	 4.00	 19.00	 2.00	 20.00	 2.00	           	 73	 16	 73       	 16	J03240643+2347073	J032406.61+234705.8	  62948174562535808	LP 356-14 A                               	GJ 140 A
     138	CARN  	GJ 140 B                   	M3           	03 24 06.48	+23 47 06.2	       	     	       	     	      	     	      	     	[COMPANION]	 37	   	          	   	                 	                   	                   	LP 356-14 B                               	GJ 140 B
     139	CARN  	GJ 140 C                   	M2.5         	03 24 13.08	+23 46 17.4	 208.00	 5.00	-112.00	 5.00	 18.00	 3.00	      	     	[COMPANION]	 10	 74	 73       	   	J03241281+2346193	J032413.01+234617.8	  62947349928383744	LP 356-15 (C)                             	GJ 140 C
     140	CARN  	HD 57852                   	F2           	07 20 21.36	-52 18 39.3	 -36.88	 0.05	 146.69	 0.05	 17.00	 2.00	 30.50	 0.60	           	 73	  5	 75       	  5	J07202142-5218413	J072021.42-521838.9	5492026736399938560	                                          	HD 57852
     141	CARN  	HD 57853                   	G0           	07 20 21.81	-52 18 31.2	       	     	       	     	 16.00	 4.00	      	     	[COMPANION]	 73	  5	 75       	  5	J07202186-5218331	                   	5492026736399861888	                                          	HD 57853
     142	CARN  	HD 59704                   	F7           	07 29 31.38	-38 07 20.6	 -27.32	 0.03	  68.06	 0.04	 25.00	 1.00	 52.00	 0.70	           	 73	  5	 76       	  5	J07293141-3807217	J072931.40-380720.9	5586184411076316032	                                          	HD 59704
     143	CARN  	HD 62850                   	G2.5         	07 42 35.96	-59 17 48.4	 -53.93	 0.07	 158.63	 0.06	 17.10	 0.40	 32.50	 0.20	           	 73	  5	 76       	  5	J07423606-5917507	J074236.01-591749.0	5292834399547563520	                                          	HD 62850
     144	CARN  	HD 62848                   	G0           	07 43 21.40	-52 09 48.5	 -56.89	 0.03	 157.40	 0.03	 20.50	 0.50	 34.30	 0.70	           	 73	  5	 20       	  5	J07432149-5209508	J074321.45-520949.2	5492744236456586752	                                          	HD 62848
     145	CARN  	HD 63581                   	K0IV-V       	07 46 14.70	-59 48 48.4	 -57.30	 0.10	 154.60	 0.10	 18.10	 0.10	 32.90	 0.60	           	 32	  5	 76       	  5	J07461480-5948506	J074614.74-594848.9	5294069563423410176	                                          	HD 63581
     146	CARN  	HD 63608                   	K0           	07 46 16.86	-59 48 31.9	 -52.30	 0.40	 153.20	 0.40	 16.90	 0.30	 33.60	 0.30	           	 73	  5	 76       	  5	J07461694-5948341	J074616.88-594832.6	5294069563423410048	                                          	HD 63608
     147	CARN  	HR 3070                    	F1           	07 49 12.90	-60 17 01.3	 -37.90	 0.30	 140.30	 0.30	 16.90	 0.40	 34.60	 0.30	           	 73	 16	 20       	 16	J07491287-6017011	J074912.78-601659.4	                   	                                          	HR 3070
     148	CARN  	GJ 358                     	M2           	09 39 45.68	-41 03 57.9	-527.00	 1.00	 356.00	 1.00	 18.00	 3.00	  9.50	 0.10	           	 73	 16	 73       	 16	J09394631-4104029	J093945.87-410359.4	5425628298645120896	                                          	GJ 358
     149	CARN  	HD 103742                  	G3           	11 56 42.11	-32 16 05.5	-172.00	 0.40	  -8.30	 0.30	  5.90	 0.10	 35.80	 0.40	           	 73	  5	 76       	  5	J11564232-3216053	J115642.17-321605.4	3466924195770080896	                                          	HD 103742
     150	CARN  	HD 103743                  	G3           	11 56 43.57	-32 16 02.8	-178.80	 0.60	  -7.10	 0.30	  6.90	 0.50	 35.40	 0.30	[COMPANION]	 73	  5	 76       	  5	J11564379-3216026	J115643.60-321602.6	3466924195770080768	                                          	HD 103743
     151	CARN  	HD 108574                  	F7           	12 28 04.19	+44 47 39.4	-181.80	 0.10	  -4.50	 0.10	 -2.30	 0.30	 45.40	 0.50	           	 73	  5	 20       	  5	J12280445+4447394	J122804.26+444739.3	1541667928099786624	                                          	HD 108574
     152	CARN  	HD 108575                  	G0           	12 28 04.54	+44 47 30.5	-180.70	 0.10	   0.40	 0.10	 -1.30	 0.90	 45.80	 0.50	[COMPANION]	 73	  5	 20       	  5	J12280480+4447305	J122804.61+444730.4	1541667928099786752	                                          	HD 108575
     153	CARN  	GJ 900                     	M0           	23 35 00.62	+01 36 19.9	 340.90	 0.10	  27.14	 0.08	 -9.00	 1.00	 20.80	 0.10	           	 73	  5	 20       	  5	J23350028+0136193	J233500.50+013619.7	2646280705713202816	                                          	GJ 900
     154	CARN  	GJ 907.1                   	K8           	23 48 25.93	-12 59 14.6	 230.00	 3.00	  21.00	 2.00	 -8.40	 0.50	 28.00	 2.00	           	 73	 16	 30       	 16	J23482570-1259151	J234825.85-125914.9	2420563956512058752	                                          	GJ 907.1
     155	HYA   	HD 16909                   	K3.5V        	02 43 21.37	+19 25 45.1	 435.00	 6.00	 -16.00	 5.00	 32.20	 0.20	 18.90	 0.40	           	 77	 16	 78       	 16	J02432085+1925452	J024321.23+192545.2	  84675933075670016	HIP 12709                                 	HD 16909
